ranking,title,location,continent
453,Liverpool John Moores University,United Kingdom,Europe
454,Makerere University,Uganda,Africa
455,Mansoura University,Egypt,Africa
456,Maynooth University,Ireland,Europe
457,Middlesex University,United Kingdom,Europe
458,Missouri University of Science and Technology,United States,America
459,Mizzou - University of Missouri,United States,America
460,University of Modena and Reggio Emilia,Italy,Europe
461,University of Naples Federico II,Italy,Europe
462,National and Kapodistrian University of Athens,Greece,Europe
463,National Research Nuclear University MEPhI,Russian Federation,Asia
464,National Yang-Ming University,Taiwan,Asia
465,University of Nebraska-Lincoln,United States,America
466,University of Neuchâtel,Switzerland,Europe
467,Norwegian University of Science and Technology,Norway,Europe
468,Oklahoma State University,United States,America
469,Oregon State University,United States,America
470,University of Pavia,Italy,Europe
471,University of Peradeniya,Sri Lanka,Asia
472,University of the Philippines,Philippines,Asia
473,University of Pisa,Italy,Europe
474,University of Plymouth,United Kingdom,Europe
475,Polytechnic University of Bari,Italy,Europe
476,Pontifical Javeriana University,Colombia,America
477,University of Porto,Portugal,Europe
478,University of Rome II – Tor Vergata,Italy,Europe
479,Royal Veterinary College,United Kingdom,Europe
480,University of St Gallen,Switzerland,Europe
481,Saint-Petersburg Mining University ,Russian Federation,Asia
482,University of Salerno,Italy,Europe
483,University of Sannio,Italy,Europe
484,University of Saskatchewan,Canada,America
485,Semmelweis University,Hungary,Europe
486,Sharif University of Technology,Iran,Asia
487,Shenzhen University,China,Asia
488,University of Siena,Italy,Europe
489,University of South Carolina-Columbia,United States,America
490,South China University of Technology,China,Asia
491,SRUC (Scotland’s Rural College),United Kingdom,Europe
492,University of Strathclyde,United Kingdom,Europe
493,Technion Israel Institute of Technology,Israel,Asia
494,Tianjin University,China,Asia
495,Tokyo Medical and Dental University (TMDU),Japan,Asia
496,Tongji University,China,Asia
497,University of Tsukuba,Japan,Asia
498,TU Dortmund University,Germany,Europe
499,The University of Tulsa,United States,America
500,University of Turin,Italy,Europe
501,TU Wien,Austria,Europe
502,University of Valencia,Spain,Europe
503,Verona University,Italy,Europe
504,University of the West of England,United Kingdom,Europe
505,Xi’an Jiaotong University,China,Asia
506,York University,Canada,America
507,Abdul Wali Khan University Mardan,Pakistan,Asia
508,Amirkabir University of Technology,Iran,Asia
509,University of L’Aquila,Italy,Europe
510,Universidad Autónoma de Chile,Chile,America
511,Bar-Ilan University,Israel,Asia
512,Beihang University,China,Asia
513,Beijing University of Chemical Technology,China,Asia
514,Beijing Institute of Technology,China,Asia
515,"Binghamton University, State University of New York",United States,America
516,Bond University,Australia,Oceania
517,Carleton University,Canada,America
518,University of Catania,Italy,Europe
519,CentraleSupélec,France,Europe
520,Charles Darwin University,Australia,Oceania
521,Claude Bernard University Lyon 1,France,Europe
522,Complutense University of Madrid,Spain,Europe
523,University of Costa Rica,Costa Rica,America
524,University of Côte d’Azur,France,Europe
525,University of Cyprus,Cyprus,Asia
526,Dublin City University,Ireland,Europe
527,University of Electronic Science and Technology of China,China,Asia
528,Ferhat Abbas Sétif University 1,Algeria,Africa
529,University of Ferrara,Italy,Europe
530,Fujita Health University,Japan,Asia
531,Graz University of Technology,Austria,Europe
532,University of Guelph,Canada,America
533,Gwangju Institute of Science and Technology,South Korea,Asia
534,Hacettepe University,Turkey,Asia
535,Hofstra University,United States,America
536,Hokkaido University,Japan,Asia
537,University of Houston,United States,America
538,University of Hull,United Kingdom,Europe
539,University of Insubria,Italy,Europe
540,Iran University of Medical Sciences,Iran,Asia
541,Iran University of Science and Technology,Iran,Asia
542,ITMO University,Russian Federation,Asia
543,Jagiellonian University,Poland,Europe
544,University of Kashan,Iran,Asia
545,Keele University,United Kingdom,Europe
546,King Fahd University of Petroleum and Minerals,Saudi Arabia,Asia
547,King Khalid University,Saudi Arabia,Asia
548,Lagos State University,Nigeria,Africa
549,Leibniz University Hannover,Germany,Europe
550,University of Limerick,Ireland,Europe
551,University of Lincoln,United Kingdom,Europe
552,University of Lisbon,Portugal,Europe
553,Louisiana State University,United States,America
554,Lviv Polytechnic National University,Ukraine,Europe
555,Mashhad University of Medical Sciences,Iran,Asia
556,Memorial University of Newfoundland,Canada,America
557,University of Messina,Italy,Europe
558,University of Montana,United States,America
559,Murdoch University,Australia,Oceania
560,National Cheng Kung University (NCKU),Taiwan,Asia
561,National Chiao Tung University,Taiwan,Asia
562,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,Asia
563,University of Nebraska Medical Center,United States,America
564,New Jersey Institute of Technology,United States,America
565,Northern Arizona University,United States,America
566,North-West University,South Africa,Africa
